Country,Dataset_Longitude ,Dataset_Latitude,Year,Status,Life expectancy ,Hepatitis B
Afghanistan,67.709953,33.93911,2015,Developing,65,65
Albania,20.168331,41.153332,2015,Developing,77.8,62
Algeria,1.659626,28.033886,2015,Developing,75.6,64
Angola,17.873887,-11.202692,2015,Developing,52.4,67
Antigua and Barbuda,-61.796428,17.060816,2015,Developing,76.4,68
Argentina,-63.616672,-38.416097,2015,Developing,76.3,66
Armenia,45.038189,40.069099,2015,Developing,74.8,63
Australia,133.775136,-25.274398,2015,Developed,82.8,64
Austria,14.550072,47.516231,2015,Developed,81.5,63
Azerbaijan,47.576927,40.143105,2015,Developing,72.7,64
Bahamas,-77.39628,25.03428,2015,Developing,76.1,66
Bahrain,50.637772,25.930414,2015,Developing,76.9,67
Bangladesh,90.356331,23.684994,2015,Developing,71.8,65
Barbados,-59.543198,13.193887,2015,Developing,75.5,64
Belarus,27.953389,53.709807,2015,Developing,72.3,63
Belgium,4.469936,50.503887,2015,Developed,81.1,62
Belize,-88.49765,17.189877,2015,Developing,71,99
Benin,2.315834,9.30769,2015,Developing,60,98
Bhutan,90.433601,27.514162,2015,Developing,69.8,99
Bolivia (Plurinational State of),-63.588653,-16.290154,2015,Developing,77,99
Bosnia and Herzegovina,17.6791,43.9159,2015,Developing,77.4,99
Botswana,24.684866,-22.328474,2015,Developing,65.7,99
Brazil,-51.92528,-14.235004,2015,Developing,75,98
Brunei Darussalam,114.727669,4.535277,2015,Developing,77.7,99
Bulgaria,25.48583,42.733883,2015,Developed,74.5,98
Burkina Faso,-1.561593,12.238333,2015,Developing,59.9,98
Burundi,29.918886,-3.373056,2015,Developing,59.6,98
C̫te d'Ivoire,-5.54708,7.539989,2015,Developing,53.3,99
Cabo Verde,-24.013197,16.002082,2015,Developing,73.3,97
Cambodia,104.990963,12.565679,2015,Developing,68.7,96
Cameroon,12.354722,7.369722,2015,Developing,57.3,96
Canada,-106.346771,56.130366,2015,Developing,82.2,96
Central African Republic,20.939444,6.611111,2015,Developing,52.5,95
Chad,18.732207,15.454166,2015,Developing,53.1,95
Chile,-71.542969,-35.675147,2015,Developing,85,95
China,104.195397,35.86166,2015,Developing,76.1,95
Colombia,-74.297333,4.570868,2015,Developing,74.8,95
Comoros,43.872219,-11.875001,2015,Developing,63.5,95
Congo,15.8277,0.228,2015,Developing,64.7,94
Costa Rica,-83.753428,9.748917,2015,Developing,79.6,91
Croatia,15.2,45.1,2015,Developed,78,9
Cuba,-77.781167,21.521757,2015,Developing,79.1,8
Cyprus,33.429859,35.126413,2015,Developed,85,83
Czechia,15.472962,49.817492,2015,Developed,78.8,81
Democratic People's Republic of Korea,127.510093,40.339852,2015,Developing,76,
Democratic Republic of the Congo,21.758664,-4.038333,2015,Developing,59.8,
Denmark,9.501785,56.26392,2015,Developed,86,
Djibouti,42.590275,11.825138,2015,Developing,63.5,
Dominican Republic,-70.162651,18.735693,2015,Developing,73.9,64
Ecuador,-78.183406,-1.831239,2015,Developing,76.2,64
Egypt,30.802498,26.820553,2015,Developing,79,77
El Salvador,-88.89653,13.794185,2015,Developing,73.5,75
Equatorial Guinea,10.267895,1.650801,2015,Developing,58.2,72
Eritrea,39.782334,15.179384,2015,Developing,64.7,77
Estonia,25.013607,58.595272,2015,Developing,77.6,61
Ethiopia,40.489673,9.145,2015,Developing,64.8,69
Fiji,179.414413,-16.578193,2015,Developing,69.9,73
Finland,25.748151,61.92411,2015,Developing,81.1,
France,2.213749,46.227638,2015,Developing,82.4,
Gabon,11.609444,-0.803689,2015,Developing,66,
Gambia,-15.310139,13.443182,2015,Developing,61.1,
Georgia,43.356892,42.315407,2015,Developing,74.4,
Germany,10.451526,51.165691,2015,Developed,81,
Ghana,-1.023194,7.946527,2015,Developing,62.4,
Greece,21.824312,39.074208,2015,Developing,81,99
Grenada,-61.604171,12.262776,2015,Developing,73.6,99
Guatemala,-90.230759,15.783471,2015,Developing,71.9,99
Guinea,-9.696645,9.945587,2015,Developing,59,98
Guinea-Bissau,-9.696645,9.945587,2015,Developing,58.9,99
Guyana,-58.93018,4.860416,2015,Developing,66.2,98
Haiti,-72.285215,18.971187,2015,Developing,63.5,98
Honduras,-86.241905,15.199999,2015,Developing,74.6,98
Hungary,19.503304,47.162494,2015,Developed,75.8,97
Iceland,-19.020835,64.963051,2015,Developed,82.7,99
India,78.96288,20.593684,2015,Developing,68.3,99
Indonesia,113.921327,-0.789275,2015,Developing,69.1,97
Iran (Islamic Republic of),53.688046,32.427908,2015,Developing,75.5,99
Iraq,43.679291,33.223191,2015,Developing,68.9,99
Ireland,-8.24389,53.41291,2015,Developed,81.4,96
Israel,34.851612,31.046051,2015,Developing,82.5,
Italy,12.56738,41.87194,2015,Developed,82.7,94
Jamaica,-77.297508,18.109581,2015,Developing,76.2,94
Japan,138.252924,36.204824,2015,Developed,83.7,94
Jordan,36.238414,30.585164,2015,Developing,74.1,91
Kazakhstan,66.923684,48.019573,2015,Developing,72,91
Kenya,37.906193,-0.023559,2015,Developing,63.4,94
Kiribati,-168.734039,-3.370417,2015,Developing,66.3,94
Kuwait,47.481766,29.31166,2015,Developing,74.7,9
Kyrgyzstan,74.766098,41.20438,2015,Developing,71.1,85
Lao People's Democratic Republic,102.495496,19.85627,2015,Developing,65.7,84
Latvia,24.603189,56.879635,2015,Developed,74.6,88
Lebanon,35.862285,33.854721,2015,Developing,74.9,81
Lesotho,28.233608,-29.609988,2015,Developing,53.7,73
Liberia,-9.429499,6.428055,2015,Developing,61.4,66
Libya,17.228331,26.3351,2015,Developing,72.7,
Lithuania,23.881275,55.169438,2015,Developed,73.6,
Luxembourg,6.129583,49.815273,2015,Developed,82,94
Madagascar,46.869107,-18.766947,2015,Developing,65.5,93
Malawi,34.301525,-13.254308,2015,Developing,58.3,95
Malaysia,101.975766,4.210484,2015,Developing,75,95
Maldives,73.22068,3.202778,2015,Developing,78.5,95
Mali,-3.996166,17.570692,2015,Developing,58.2,94
Malta,14.375416,35.937496,2015,Developed,81.7,93
Mauritania,-10.940835,21.00789,2015,Developing,63.1,89
Mauritius,57.552152,-20.348404,2015,Developing,74.6,85
Mexico,-102.552784,23.634501,2015,Developing,76.7,78
Micronesia (Federated States of),150.550812,7.425554,2015,Developing,69.4,91
Mongolia,103.846656,46.862496,2015,Developing,68.8,91
Montenegro,19.37439,42.708678,2015,Developing,76.1,93
Morocco,-7.09262,31.791702,2015,Developing,74.3,91
Mozambique,35.529562,-18.665695,2015,Developing,57.6,69
Myanmar,95.956223,21.913965,2015,Developing,66.6,55
Namibia,18.49041,-22.95764,2015,Developing,65.8,93
Nepal,84.124008,28.394857,2015,Developing,69.2,91
Netherlands,5.291266,52.132633,2015,Developed,81.9,91
New Zealand,174.885971,-40.900557,2015,Developed,81.6,91
Nicaragua,-85.207229,12.865416,2015,Developing,74.8,92
Niger,8.081666,17.607789,2015,Developing,61.8,92
Nigeria,8.675277,9.081999,2015,Developing,54.5,94
Norway,8.468946,60.472024,2015,Developed,81.8,94
Oman,55.923255,21.512583,2015,Developing,76.6,94
Pakistan,69.345116,30.375321,2015,Developing,66.4,95
Panama,-80.782127,8.537981,2015,Developing,77.8,95
Papua New Guinea,143.95555,-6.314993,2015,Developing,62.9,95
Paraguay,-58.443832,-23.442503,2015,Developing,74,95
Peru,-75.015152,-9.189967,2015,Developing,75.5,95
Philippines,121.774017,12.879721,2015,Developing,68.5,94
Poland,19.145136,51.919438,2015,Developed,77.5,
Portugal,-8.224454,39.399872,2015,Developed,81.1,93
Qatar,51.183884,25.354826,2015,Developing,78.2,98
Republic of Korea,127.766922,35.907757,2015,Developing,82.3,95
Republic of Moldova,28.369885,47.411631,2015,Developing,72.1,92
Romania,24.96676,45.943161,2015,Developed,75,89
Russian Federation,105.318756,61.52401,2015,Developing,75,86
Rwanda,29.873888,-1.940278,2015,Developing,66.1,83
Saint Lucia,-60.978893,13.909444,2015,Developing,75.2,83
Saint Vincent and the Grenadines,-61.287228,12.984305,2015,Developing,73.2,85
Samoa,-172.104629,-13.759029,2015,Developing,74,83
Sao Tome and Principe,6.613081,0.18636,2015,Developing,67.5,86
Saudi Arabia,45.079162,23.885942,2015,Developing,74.5,83
Senegal,-14.452362,14.497401,2015,Developing,66.7,83
Serbia,21.005859,44.016521,2015,Developing,75.6,81
Seychelles,55.491977,-4.679574,2015,Developing,73.2,44
Sierra Leone,-11.779889,8.460555,2015,Developing,51,33
Singapore,103.819836,1.352083,2015,Developed,83.1,96
Slovakia,19.699024,48.669026,2015,Developed,76.7,94
Slovenia,14.995463,46.151241,2015,Developed,88,93
Solomon Islands,160.156194,-9.64571,2015,Developing,69.2,88
Somalia,46.199616,5.152149,2015,Developing,55,84
South Africa,22.937506,-30.559482,2015,Developing,62.9,8
South Sudan,30.217636,12.862807,2015,Developing,57.3,74
Spain,-3.74922,40.463667,2015,Developed,82.8,68
Sri Lanka,80.771797,7.873054,2015,Developing,74.9,62
Sudan,30.217636,12.862807,2015,Developing,64.1,52
Suriname,-56.027783,3.919305,2015,Developing,71.6,49
Swaziland,31.465866,-26.522503,2015,Developing,58.9,5
Sweden,18.643501,60.128161,2015,Developed,82.4,51
Switzerland,8.227512,46.818188,2015,Developed,83.4,5
Syrian Arab Republic,38.996815,34.802075,2015,Developing,64.5,
Tajikistan,71.276093,38.861034,2015,Developing,69.7,
Thailand,100.992541,15.870032,2015,Developing,74.9,95
The former Yugoslav republic of Macedonia,21.745275,41.608635,2015,Developing,75.7,96
Timor-Leste,125.727539,-8.874217,2015,Developing,68.3,97
Togo,0.824782,8.619543,2015,Developing,59.9,96
Tonga,-175.198242,-21.178986,2015,Developing,73.5,95
Trinidad and Tobago,-61.222503,10.691803,2015,Developing,71.2,98
Tunisia,9.537499,33.886917,2015,Developing,75.3,95
Turkey,35.243322,38.963745,2015,Developing,75.8,9
Turkmenistan,59.556278,38.969719,2015,Developing,66.3,93
Uganda,32.290275,1.373333,2015,Developing,62.3,96
Ukraine,31.16558,48.379433,2015,Developing,71.3,93
United Arab Emirates,53.847818,23.424076,2015,Developing,77.1,93
United Kingdom of Great Britain and Northern Ireland,-3.435973,55.378051,2015,Developed,81.2,88
United Republic of Tanzania,34.888822,-6.369028,2015,Developing,61.8,89
United States of America,-95.712891,37.09024,2015,Developed,79.3,21
Uruguay,-55.765835,-32.522779,2015,Developing,77,
Uzbekistan,64.585262,41.377491,2015,Developing,69.4,98
Vanuatu,166.959158,-15.376706,2015,Developing,72,98
Venezuela (Bolivarian Republic of),-66.58973,6.42375,2015,Developing,74.1,99
Viet Nam,108.277199,14.058324,2015,Developing,76,99
Yemen,48.516388,15.552727,2015,Developing,65.7,99
Zambia,27.849332,-13.133897,2015,Developing,61.8,99
Zimbabwe,29.154857,-19.015438,2015,Developing,67,98
,,,,,,97
,,,,,,97
,,,,,,98
,,,,,,98
,,,,,,98
,,,,,,98
,,,,,,98
,,,,,,99
,,,,,,97
,,,,,,97
,,,,,,97
,,,,,,96
,,,,,,94
,,,,,,96
,,,,,,94
,,,,,,97
,,,,,,96
,,,,,,95
,,,,,,86
,,,,,,45
,,,,,,11
,,,,,,5
,,,,,,
,,,,,,
,,,,,,
,,,,,,97
,,,,,,94
,,,,,,91
,,,,,,87
,,,,,,91
,,,,,,86
,,,,,,93
,,,,,,85
,,,,,,93
,,,,,,84
,,,,,,92
,,,,,,93
,,,,,,91
,,,,,,66
,,,,,,18
,,,,,,
,,,,,,99
,,,,,,97
,,,,,,98
,,,,,,97
,,,,,,98
,,,,,,96
,,,,,,98
,,,,,,98
,,,,,,91
,,,,,,98
,,,,,,99
,,,,,,99
,,,,,,56
,,,,,,99
,,,,,,93
,,,,,,7
,,,,,,98
,,,,,,98
,,,,,,98
,,,,,,98
,,,,,,97
,,,,,,97
,,,,,,97
,,,,,,98
,,,,,,94
,,,,,,94
,,,,,,77
,,,,,,64
,,,,,,64
,,,,,,6
,,,,,,6
,,,,,,6
,,,,,,94
,,,,,,95
,,,,,,95
,,,,,,98
,,,,,,95
,,,,,,96
,,,,,,97
,,,,,,94
,,,,,,96
,,,,,,98
,,,,,,96
,,,,,,97
,,,,,,96
,,,,,,97
,,,,,,96
,,,,,,76
,,,,,,82
,,,,,,78
,,,,,,77
,,,,,,8
,,,,,,75
,,,,,,76
,,,,,,79
,,,,,,75
,,,,,,82
,,,,,,74
,,,,,,7
,,,,,,75
,,,,,,73
,,,,,,15
,,,,,,
,,,,,,
,,,,,,99
,,,,,,99
,,,,,,97
,,,,,,97
,,,,,,95
,,,,,,91
,,,,,,93
,,,,,,96
,,,,,,95
,,,,,,95
,,,,,,95
,,,,,,89
,,,,,,95
,,,,,,83
,,,,,,89
,,,,,,98
,,,,,,99
,,,,,,98
,,,,,,94
,,,,,,93
,,,,,,95
,,,,,,91
,,,,,,93
,,,,,,88
,,,,,,84
,,,,,,83
,,,,,,85
,,,,,,84
,,,,,,8
,,,,,,77
,,,,,,77
,,,,,,77
,,,,,,82
,,,,,,89
,,,,,,91
,,,,,,92
,,,,,,88
,,,,,,89
,,,,,,9
,,,,,,88
,,,,,,94
,,,,,,9
,,,,,,93
,,,,,,36
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,95
,,,,,,95
,,,,,,95
,,,,,,95
,,,,,,95
,,,,,,95
,,,,,,94
,,,,,,94
,,,,,,93
,,,,,,93
,,,,,,92
,,,,,,91
,,,,,,9
,,,,,,88
,,,,,,87
,,,,,,86
,,,,,,96
,,,,,,96
,,,,,,96
,,,,,,96
,,,,,,98
,,,,,,96
,,,,,,99
,,,,,,96
,,,,,,99
,,,,,,99
,,,,,,98
,,,,,,96
,,,,,,97
,,,,,,92
,,,,,,91
,,,,,,94
,,,,,,99
,,,,,,99
,,,,,,98
,,,,,,99
,,,,,,93
,,,,,,96
,,,,,,96
,,,,,,96
,,,,,,97
,,,,,,99
,,,,,,99
,,,,,,99
